
Sun Aug  4 06:26:38 2024
x_start = 0, dx = 100000000
N_points = 1001
(11400000000, -15802818.996768435)
(11500000000, -15907250.188045256)
(11600000000, -16030351.99423534)
(11700000000, -16135422.981743785)
(11800000000, -16263658.305008883)
(11900000000, -16383056.931620693)
(12000000000, -16532817.645011606)
(12100000000, -16663050.29843696)
(12200000000, -16795327.7118904)
(12300000000, -16922689.478091627)
(12400000000, -17018063.51480291)
(12500000000, -17120167.943701264)
(12600000000, -17238071.85201281)
(12700000000, -17360017.688627042)
(12800000000, -17425996.680822566)
(12900000000, -17546000.102490224)
(13000000000, -17657708.97890859)
(13100000000, -17780038.700697903)
(13200000000, -17868018.060407046)
(13300000000, -17971280.35874377)
(13400000000, -18079997.388904687)
(13500000000, -18183010.921075165)
(13600000000, -18309620.38022757)
(13700000000, -18410169.627197128)
(13800000000, -18538025.68901196)
(13900000000, -18665243.16089352)
(14000000000, -18787209.669083886)
(14100000000, -18915521.939709663)
(14200000000, -19024302.08772134)
(14300000000, -19120744.490311813)
(14400000000, -19208175.116902824)
(14500000000, -19310886.23286919)
(14600000000, -19429437.248368923)
(14700000000, -19542439.13722949)
(14800000000, -19643753.63718905)
(14900000000, -19761937.527683374)
(15000000000, -19907647.68277262)
(15100000000, -20015845.400064927)
(15200000000, -20109200.492818423)
(15300000000, -20204456.5755763)
(15400000000, -20288623.263278715)
(15500000000, -20410688.44303707)
(15600000000, -20499042.706668496)
(15700000000, -20582724.899596598)
(15800000000, -20695485.719735425)
(15900000000, -20821688.008209396)
(16000000000, -20933337.788641337)
(16100000000, -21027767.215424318)
(16200000000, -21124842.87242719)
(16300000000, -21259012.072087694)
(16400000000, -21363888.988337368)
(16500000000, -21473838.314346984)
(16600000000, -21576698.36690675)
(16700000000, -21706345.3525533)
(16800000000, -21796944.241516177)
(16900000000, -21904205.580330696)
(17000000000, -21984288.262768723)
(17100000000, -22101814.562471196)
(17200000000, -22210509.834180623)
(17300000000, -22322954.76500712)
(17400000000, -22445638.22567177)
(17500000000, -22540972.796881706)
(17600000000, -22619369.98090019)
(17700000000, -22726060.06567751)
(17800000000, -22836826.486216463)
(17900000000, -22916754.138330493)
(18000000000, -23019403.209468134)
(18100000000, -23144863.836734805)
(18200000000, -23212139.181998957)
(18300000000, -23347063.73610653)
(18400000000, -23445637.393394835)
(18500000000, -23552566.412715044)
(18600000000, -23634125.339794066)
(18700000000, -23744293.39230516)
(18800000000, -23857598.94266808)
(18900000000, -23956909.762200575)
(19000000000, -24075555.625666734)
(19100000000, -24163077.165441178)
(19200000000, -24285019.589419816)
(19300000000, -24364966.198884763)
(19400000000, -24478007.627402496)
(19500000000, -24590859.873805147)
(19600000000, -24688038.92224016)
(19700000000, -24805729.22270976)
(19800000000, -24918986.505141284)
(19900000000, -25026718.982801355)
(20000000000, -25135221.580462933)
(20100000000, -25239134.530897155)
(20200000000, -25354492.369776037)
(20300000000, -25442667.0577834)
(20400000000, -25572873.215063617)
(20500000000, -25684965.719962165)
(20600000000, -25780260.144895993)
(20700000000, -25855717.344496723)
(20800000000, -25947367.024934333)
(20900000000, -26056237.437742133)
(21000000000, -26153378.532322932)
(21100000000, -26266015.02532276)
(21200000000, -26357643.94203228)
(21300000000, -26490381.860859007)
(21400000000, -26626700.073936895)
(21500000000, -26700183.543093838)
(21600000000, -26800569.184160456)
(21700000000, -26909920.712117705)
(21800000000, -27048240.23109136)
(21900000000, -27156075.61962352)
(22000000000, -27264910.200764038)
(22100000000, -27370822.864118323)
(22200000000, -27471323.630146362)
(22300000000, -27562159.6696654)
(22400000000, -27655289.316701725)
(22500000000, -27788250.115743835)
(22600000000, -27883833.01242572)
(22700000000, -28008544.246430367)
(22800000000, -28122596.550646856)
(22900000000, -28244862.483047403)
(23000000000, -28359446.68977496)
(23100000000, -28450810.992496092)
(23200000000, -28555820.160044488)
(23300000000, -28643754.502370734)
(23400000000, -28750289.67988921)
(23500000000, -28866314.679434326)
(23600000000, -28986059.216762293)
(23700000000, -29103342.11140877)
(23800000000, -29210828.015201688)
(23900000000, -29329001.91704639)
(24000000000, -29447040.315994162)
(24100000000, -29547232.1338908)
(24200000000, -29666531.66323675)
(24300000000, -29781821.6765611)
(24400000000, -29898028.036363766)
(24500000000, -29980599.37517104)
(24600000000, -30095674.25814181)
(24700000000, -30212251.17005578)
(24800000000, -30290162.691835824)
(24900000000, -30415014.15542254)
(25000000000, -30502587.314734854)
(25100000000, -30600566.349084295)
(25200000000, -30698596.705821402)
(25300000000, -30833076.09538455)
(25400000000, -30926528.66522744)
(25500000000, -31040015.2609379)
(25600000000, -31151722.486660026)
(25700000000, -31272818.93924596)
(25800000000, -31355136.815031473)
(25900000000, -31424449.24912313)
(26000000000, -31525018.576197296)
(26100000000, -31627427.268351134)
(26200000000, -31710015.363333594)
